title,price,availability,rating,product_url,image_url,upc,category
The Secret Garden,Â£15.08,In stock (5 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-secret-garden_413/index.html,https://books.toscrape.com/media/cache/f1/78/f17805e88aed31aae352ab250b2a379d.jpg,abbb492978ff656d,Classics
The Metamorphosis,Â£28.58,In stock (5 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-metamorphosis_409/index.html,https://books.toscrape.com/media/cache/9b/33/9b33c3c40c8d27054a3edf96cbf6a2fb.jpg,93379e3a2072a01b,Classics
The Pilgrim's Progress,Â£50.26,In stock (4 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html,https://books.toscrape.com/media/cache/91/2a/912acfe6ee354d9d9bf3c1fa517c4252.jpg,6053ddf69c967d5f,Classics
The Hound of the Baskervilles (Sherlock Holmes #5),Â£14.82,In stock (4 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html,https://books.toscrape.com/media/cache/9d/fe/9dfe2a73c6a1a1c09927c904de641ebf.jpg,6587f46697fc4443,Classics
Little Women (Little Women #1),Â£28.07,In stock (4 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/little-women-little-women-1_331/index.html,https://books.toscrape.com/media/cache/55/a9/55a942b0c092c40bdbb6a1f1be340984.jpg,deda806b68b0aa11,Classics
Gone with the Wind,Â£32.49,In stock (4 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/gone-with-the-wind_324/index.html,https://books.toscrape.com/media/cache/ac/ee/acee20cff19be38cc3efc5e9b50afae4.jpg,23310ce84d3c9f85,Classics
Candide,Â£58.63,In stock (4 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/candide_316/index.html,https://books.toscrape.com/media/cache/e7/7d/e77d917c495e649216225bd47e006482.jpg,2798974abc8a58a8,Classics
Animal Farm,Â£57.22,In stock (4 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/animal-farm_313/index.html,https://books.toscrape.com/media/cache/73/b9/73b9d68a89e6d037f1afdc70f96bad09.jpg,1451b55e5e56bb89,Classics
Wuthering Heights,Â£17.73,In stock (3 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/wuthering-heights_307/index.html,https://books.toscrape.com/media/cache/d8/64/d8644073d00c000cb60643256080cc4b.jpg,5a7ff9aaa3168878,Classics
The Picture of Dorian Gray,Â£29.70,In stock (3 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-picture-of-dorian-gray_270/index.html,https://books.toscrape.com/media/cache/67/29/67297ff3ae6cb02884c52e5250fe7c1a.jpg,b9f6305a3d650e2c,Classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Â£26.78,In stock (3 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html,https://books.toscrape.com/media/cache/55/2d/552d55d44dcc0f27e98b3e7dc3959e1a.jpg,cad70d6ffd53912f,Classics
Beowulf,Â£38.35,In stock (3 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/beowulf_126/index.html,https://books.toscrape.com/media/cache/3d/8c/3d8cd7a42d3e57cb10e02f9ab76bd549.jpg,3fb69f34e178d494,Classics
And Then There Were None,Â£35.01,In stock (3 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/and-then-there-were-none_119/index.html,https://books.toscrape.com/media/cache/6f/b0/6fb0c3064656f888125ab577b6a01867.jpg,cfe350b20d23b02b,Classics
The Story of Hong Gildong,Â£43.19,In stock (1 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-story-of-hong-gildong_84/index.html,https://books.toscrape.com/media/cache/b5/5b/b55be7e5c18b62cef6ebeae404f7f643.jpg,32d035df92ab9080,Classics
The Little Prince,Â£45.42,In stock (1 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-little-prince_72/index.html,https://books.toscrape.com/media/cache/c0/d6/c0d67625e62981155f5e1f553bda1a94.jpg,1aeca7d078d57deb,Classics
Sense and Sensibility,Â£37.46,In stock (1 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html,https://books.toscrape.com/media/cache/a8/57/a857deea83c7d4c66e2920e1cf5d8fe0.jpg,35e44170702139a4,Classics
Of Mice and Men,Â£47.11,In stock (1 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/of-mice-and-men_37/index.html,https://books.toscrape.com/media/cache/a0/bb/a0bb0881c8ee6f5866804cf0a437853f.jpg,39592d9d72e717c4,Classics
Emma,Â£32.93,In stock (1 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/emma_17/index.html,https://books.toscrape.com/media/cache/ae/98/ae98d08a6f427491dd8eda6b51af41fe.jpg,2e69730561ed70ad,Classics
Alice in Wonderland (Alice's Adventures in Wonderland #1),Â£55.53,In stock (1 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html,https://books.toscrape.com/media/cache/99/df/99df494c230127c3d5ff53153d1f23a3.jpg,cd2a2a70dd5d176d,Classics
